sample id,datatype,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,sum_opinion_A,50,51,53,57,56,56,60,58,61,61,61,65,67,67,65,65,64,63,62,61,64,61,62,62,59,58,53,55,52,50,48
2,binned_edge_sizes_wp,[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  2 16  2  0  0  0  0  0  0  0],[ 0  0  0  0  2 16  2  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  1  2 13  4  0  0  0  0  0  0  0]
3,sum_opinion_A,50,51,53,57,56,56,60,58,61,61,61,65,67,67,65,65,64,63,62,61,64,61,62,62,59,58,53,55,52,50,48
3,binned_opinions_home,[0 3 6 9 2],[0 3 6 8 3],[0 3 5 7 5],[0 4 4 7 5],[ 1  3  2 10  4],[ 1  0  5 10  4],[1 1 5 9 4],[0 1 6 8 5],[0 3 3 8 6],[0 1 7 6 6],[0 2 3 7 8],[ 0  2  4  4 10],[0 1 6 4 9],[0 2 6 3 9],[0 3 3 6 8],[0 3 4 5 8],[0 3 5 3 9],[0 3 5 3 9],[1 2 6 2 9],[ 1  2  4  3 10],[1 3 3 4 9],[ 1  2  5  2 10],[1 1 7 2 9],[1 2 5 4 8],[2 1 4 5 8],[3 1 4 5 7],[3 1 2 7 7],[3 2 3 5 7],[2 4 3 5 6],[1 4 5 6 4]
3,binned_opinions_wp,[0 4 5 7 4 0 0 0 0 0 0 0 0 0],[ 1  2  4 10  2  1  0  0  0  0  0  0  0  0],[0 3 3 9 4 1 0 0 0 0 0 0 0 0],[0 4 4 6 4 2 0 0 0 0 0 0 0 0],[0 3 5 7 3 2 0 0 0 0 0 0 0 0],[0 2 5 7 3 3 0 0 0 0 0 0 0 0],[0 2 7 5 3 3 0 0 0 0 0 0 0 0],[0 2 4 7 5 2 0 0 0 0 0 0 0 0],[0 3 5 2 8 2 0 0 0 0 0 0 0 0],[0 3 4 4 7 2 0 0 0 0 0 0 0 0],[0 3 1 7 6 3 0 0 0 0 0 0 0 0],[0 2 2 7 5 4 0 0 0 0 0 0 0 0],[1 1 1 8 5 4 0 0 0 0 0 0 0 0],[1 1 1 9 5 3 0 0 0 0 0 0 0 0],[0 1 3 8 6 2 0 0 0 0 0 0 0 0],[0 1 5 6 5 3 0 0 0 0 0 0 0 0],[0 1 7 4 4 4 0 0 0 0 0 0 0 0],[0 1 5 8 3 3 0 0 0 0 0 0 0 0],[0 2 5 5 6 2 0 0 0 0 0 0 0 0],[0 3 3 5 5 4 0 0 0 0 0 0 0 0],[0 3 5 5 2 5 0 0 0 0 0 0 0 0],[1 1 5 6 2 5 0 0 0 0 0 0 0 0],[1 1 3 9 2 4 0 0 0 0 0 0 0 0],[ 1  2  2 10  2  3  0  0  0  0  0  0  0  0],[1 3 2 8 3 3 0 0 0 0 0 0 0 0],[1 3 5 6 3 2 0 0 0 0 0 0 0 0],[2 1 5 7 2 3 0 0 0 0 0 0 0 0],[2 2 5 5 5 1 0 0 0 0 0 0 0 0],[2 2 6 5 4 1 0 0 0 0 0 0 0 0],[2 5 4 3 4 2 0 0 0 0 0 0 0 0]
3,binned_edge_sizes_wp,[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  2 16  2  0  0  0  0  0  0  0],[ 0  0  0  0  2 16  2  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  1  2 13  4  0  0  0  0  0  0  0]
4,sum_opinion_A,50,51,53,57,56,56,60,58,61,61,61,65,67,67,65,65,64,63,62,61,64,61,62,62,59,58,53,55,52,50,48
4,binned_opinions_home,[0 3 6 9 2],[0 3 6 8 3],[0 3 5 7 5],[0 4 4 7 5],[ 1  3  2 10  4],[ 1  0  5 10  4],[1 1 5 9 4],[0 1 6 8 5],[0 3 3 8 6],[0 1 7 6 6],[0 2 3 7 8],[ 0  2  4  4 10],[0 1 6 4 9],[0 2 6 3 9],[0 3 3 6 8],[0 3 4 5 8],[0 3 5 3 9],[0 3 5 3 9],[1 2 6 2 9],[ 1  2  4  3 10],[1 3 3 4 9],[ 1  2  5  2 10],[1 1 7 2 9],[1 2 5 4 8],[2 1 4 5 8],[3 1 4 5 7],[3 1 2 7 7],[3 2 3 5 7],[2 4 3 5 6],[1 4 5 6 4]
4,binned_opinions_wp,[0 4 5 7 4 0 0 0 0 0 0 0 0 0],[ 1  2  4 10  2  1  0  0  0  0  0  0  0  0],[0 3 3 9 4 1 0 0 0 0 0 0 0 0],[0 4 4 6 4 2 0 0 0 0 0 0 0 0],[0 3 5 7 3 2 0 0 0 0 0 0 0 0],[0 2 5 7 3 3 0 0 0 0 0 0 0 0],[0 2 7 5 3 3 0 0 0 0 0 0 0 0],[0 2 4 7 5 2 0 0 0 0 0 0 0 0],[0 3 5 2 8 2 0 0 0 0 0 0 0 0],[0 3 4 4 7 2 0 0 0 0 0 0 0 0],[0 3 1 7 6 3 0 0 0 0 0 0 0 0],[0 2 2 7 5 4 0 0 0 0 0 0 0 0],[1 1 1 8 5 4 0 0 0 0 0 0 0 0],[1 1 1 9 5 3 0 0 0 0 0 0 0 0],[0 1 3 8 6 2 0 0 0 0 0 0 0 0],[0 1 5 6 5 3 0 0 0 0 0 0 0 0],[0 1 7 4 4 4 0 0 0 0 0 0 0 0],[0 1 5 8 3 3 0 0 0 0 0 0 0 0],[0 2 5 5 6 2 0 0 0 0 0 0 0 0],[0 3 3 5 5 4 0 0 0 0 0 0 0 0],[0 3 5 5 2 5 0 0 0 0 0 0 0 0],[1 1 5 6 2 5 0 0 0 0 0 0 0 0],[1 1 3 9 2 4 0 0 0 0 0 0 0 0],[ 1  2  2 10  2  3  0  0  0  0  0  0  0  0],[1 3 2 8 3 3 0 0 0 0 0 0 0 0],[1 3 5 6 3 2 0 0 0 0 0 0 0 0],[2 1 5 7 2 3 0 0 0 0 0 0 0 0],[2 2 5 5 5 1 0 0 0 0 0 0 0 0],[2 2 6 5 4 1 0 0 0 0 0 0 0 0],[2 5 4 3 4 2 0 0 0 0 0 0 0 0]
4,binned_edge_sizes_wp,[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  2 16  2  0  0  0  0  0  0  0],[ 0  0  0  0  2 16  2  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  1  2 13  4  0  0  0  0  0  0  0]
5,sum_opinion_A,50,51,53,57,56,56,60,58,61,61,61,65,67,67,65,65,64,63,62,61,64,61,62,62,59,58,53,55,52,50,48
5,binned_opinions_home,[0 3 6 9 2],[0 3 6 8 3],[0 3 5 7 5],[0 4 4 7 5],[ 1  3  2 10  4],[ 1  0  5 10  4],[1 1 5 9 4],[0 1 6 8 5],[0 3 3 8 6],[0 1 7 6 6],[0 2 3 7 8],[ 0  2  4  4 10],[0 1 6 4 9],[0 2 6 3 9],[0 3 3 6 8],[0 3 4 5 8],[0 3 5 3 9],[0 3 5 3 9],[1 2 6 2 9],[ 1  2  4  3 10],[1 3 3 4 9],[ 1  2  5  2 10],[1 1 7 2 9],[1 2 5 4 8],[2 1 4 5 8],[3 1 4 5 7],[3 1 2 7 7],[3 2 3 5 7],[2 4 3 5 6],[1 4 5 6 4]
5,binned_opinions_wp,[0 4 5 7 4 0 0 0 0 0 0 0 0 0],[ 1  2  4 10  2  1  0  0  0  0  0  0  0  0],[0 3 3 9 4 1 0 0 0 0 0 0 0 0],[0 4 4 6 4 2 0 0 0 0 0 0 0 0],[0 3 5 7 3 2 0 0 0 0 0 0 0 0],[0 2 5 7 3 3 0 0 0 0 0 0 0 0],[0 2 7 5 3 3 0 0 0 0 0 0 0 0],[0 2 4 7 5 2 0 0 0 0 0 0 0 0],[0 3 5 2 8 2 0 0 0 0 0 0 0 0],[0 3 4 4 7 2 0 0 0 0 0 0 0 0],[0 3 1 7 6 3 0 0 0 0 0 0 0 0],[0 2 2 7 5 4 0 0 0 0 0 0 0 0],[1 1 1 8 5 4 0 0 0 0 0 0 0 0],[1 1 1 9 5 3 0 0 0 0 0 0 0 0],[0 1 3 8 6 2 0 0 0 0 0 0 0 0],[0 1 5 6 5 3 0 0 0 0 0 0 0 0],[0 1 7 4 4 4 0 0 0 0 0 0 0 0],[0 1 5 8 3 3 0 0 0 0 0 0 0 0],[0 2 5 5 6 2 0 0 0 0 0 0 0 0],[0 3 3 5 5 4 0 0 0 0 0 0 0 0],[0 3 5 5 2 5 0 0 0 0 0 0 0 0],[1 1 5 6 2 5 0 0 0 0 0 0 0 0],[1 1 3 9 2 4 0 0 0 0 0 0 0 0],[ 1  2  2 10  2  3  0  0  0  0  0  0  0  0],[1 3 2 8 3 3 0 0 0 0 0 0 0 0],[1 3 5 6 3 2 0 0 0 0 0 0 0 0],[2 1 5 7 2 3 0 0 0 0 0 0 0 0],[2 2 5 5 5 1 0 0 0 0 0 0 0 0],[2 2 6 5 4 1 0 0 0 0 0 0 0 0],[2 5 4 3 4 2 0 0 0 0 0 0 0 0]
5,binned_edge_sizes_wp,[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  0 20  0  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  1 18  1  0  0  0  0  0  0  0],[ 0  0  0  0  2 16  2  0  0  0  0  0  0  0],[ 0  0  0  0  2 16  2  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  0  3 14  3  0  0  0  0  0  0  0],[ 0  0  0  1  2 13  4  0  0  0  0  0  0  0]
6,sum_opinion_A,50,51,53,57,56,56,60,58,61,61,61,65,67,67,65,65,64,63,62,61,64,61,62,62,59,58,53,55,52,50,48
